,BereichsId,Ktonr,Belegdatum,BU_Schl,GKtonr,Steuersatz,EUStSatz,Belegfeld2,Umsatz_Soll,Umsatz_Haben,EingegUmsatz_SHKz,EingegUmsatz,WKz_eingeg_Umsatz,Kurs,Basiswaehrung,Stapelnummer,BSNr,Kost1,Kost2,Menge1Wert,Kennung_EB,WjMonat,Buchungstyp,Bearbeitungsstatus,Belegpruefungsstatus,Kontobewegungstyp,Kontorolle,Folgebuchungszaehler,AbwBesteuerungsart,SachverhaltLuL,FunktionsergLuL,HauptfktTypSchl49,HauptfktNrSchl49,FktErgSchl49,Herkunftskz,Beleglink,Beleginfo_Art1,Beleginfo_Inhalt1,Beleginfo_Art2,Beleginfo_Inhalt2,Beleginfo_Art3,Beleginfo_Inhalt3,Beleginfo_Art4,Beleginfo_Inhalt4,Beleginfo_Art5,Beleginfo_Inhalt5,Beleginfo_Art6,Beleginfo_Inhalt6,Beleginfo_Art7,Beleginfo_Inhalt7,Beleginfo_Art8,Beleginfo_Inhalt8,Stapelidentifikator,Belegidentifikator,Stueck,Gewicht,Gesellschaftername,Beteiligtennummer,Identifikationsnummer,Zeichnernummer,Leistungsdatum,UVA Steuermonat
64824,10,8640,10.09.2015,0.0,10704,19.0,0.0,0,12.3574,0.0,H,0.0,EUR,0.0,EUR,08-2015/0001,1913,0.0,0.0,0.0,0,8,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53098,10,70900,06.04.2015,0.0,3125,19.0,0.0,0,0.0,1391.78026,S,0.0,EUR,0.0,EUR,04-2015/0001,2553,0.0,0.0,0.0,0,4,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,2553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71120,10,10716,10.08.2015,0.0,8400,0.0,0.0,90915.0,115.59786,0.0,S,0.0,EUR,0.0,EUR,08-2015/0001,1473,0.0,0.0,0.0,0,8,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,1473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82993,10,3748,22.05.2014,19.0,71402,0.0,0.0,0,0.0,927.344232,S,0.0,EUR,0.0,EUR,05-2014/0001,1690,0.0,0.0,0.0,0,5,1,10,1,1,2,2,-,0,0,54,1,1,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27727,10,1400,12.12.2014,3.0,8736,0.0,0.0,0,87.23201,0.0,H,0.0,EUR,0.0,EUR,12-2014/0001,992,0.0,0.0,0.0,0,12,1,10,1,2,2,2,-,0,0,80,1,2,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8613,10,1200,11.11.2015,0.0,1369,0.0,0.0,15217.0,13.357226,0.0,S,0.0,EUR,0.0,EUR,11-2015/0001,608,0.0,0.0,0.0,0,11,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49557,10,1776,07.09.2015,0.0,1369,7.0,0.0,15170.0,12.458506,0.0,S,0.0,EUR,0.0,EUR,09-2015/0001,307,0.0,0.0,0.0,0,9,1,10,1,5,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21391,10,1369,09.11.2015,0.0,21352,0.0,0.0,0,56.821572,0.0,S,0.0,EUR,0.0,EUR,10-2015/0001,2358,0.0,0.0,0.0,0,10,1,10,1,1,2,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68334,10,10493,07.10.2014,0.0,1200,7.0,0.0,0,0.0,1288.169078,H,0.0,EUR,0.0,EUR,10-2014/0001,990,0.0,0.0,0.0,0,10,1,10,1,1,1,1,-,0,0,0,0,0,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32847,10,1600,06.03.2014,9.0,3000,0.0,0.0,0,0.0,1235.51532,H,0.0,EUR,0.0,EUR,03-2014/0001,1949,0.0,0.0,0.0,0,3,1,10,1,2,2,1,-,0,0,30,1,1,SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
